sentence_id	sentence	variant	sentence_domain	source	is_used	clips_count
16090ee2ff54a4597072852ba1d6065fb8da1fb73954c68d36568452ef91107d	वह गिटार ले कर बजाने लगा।			tatoeba.org	1	0
3a8c3495f29dca230c08312df5df7fab1bed513e553b621e63de56343256a89b	कहावत तो तुमने सुनी ही होगी: लंबा नाक, लंबा लंड।			sentence-collector	0	0
68b98529ed724d469cdb895465a8292ae9a089943c3d1d4cb3b0eee6a858dee9	पर्यटन क्षेत्र को बढ़ावा देने में जुटी अखिलेश सरकार			sentence-collector	1	0
6ad77c4296dba7d3f0e66fa1f674d5c37641424c07ae2f3ecc1bab24c55bdb67	सामी ने कई लड़कियों को चोदा।			sentence-collector	1	0
6ba2c14a7918f7bea3818b610c16b338ae5f235506604ad377e20c5acae3e7ea	मनमोहन और ओबामा करेंगे पाक के हालात पर चर्चा			sentence-collector	1	0
6bfd98b04a7ca62cd21894f95a938bfe42f71d0cdb1b8906da063d8124bee652	चंद्रबाबू नायडू ने जमानत लेने से इनकार किया			sentence-collector	1	0
6d0d6a413eaf266d964191fa8f87f7bf9a959d24502567ad2ef1d7432ececd79	आरक्षण खत्म करने की कोशिश हुई तो बीजेपी को मिट्टी में मिला देंगे: मायावती			sentence-collector	1	0
6d2912111d1c728d5d0e383fcadfbcaabad1239bebc01ade6df2dc0f96c5475f	'एक था टाइगर' के नए पोस्टर में सलमान-कैटरीना			sentence-collector	1	0
6d52550ce00689f91806a072ca4cf88eb93324e7269a92e36e5ec3219880869f	हज़ारे के गांव पहुंचे केजरीवाल, भूषण और किरण			sentence-collector	1	0
6dbe3950276a079ab6ab751cf3bc224a9a48769dafefa534931ed4ce210fecf6	महिलाओं की सुरक्षा के लिए कड़े कानून की जरूरत: करीना			sentence-collector	1	0
6df2eedbe1584badf648843fe5e7cf990ac39efe65d79dd99c4f211d5324b544	भव्य अंदाज में हुआ सैफ करीना का रिसेप्शन			sentence-collector	1	0
6df6450ae549243861cd327b23dd8f09baf14bbb30dde249e1a01e5dff890aff	हम घर जा रहें हैं।			sentence-collector	1	0
6fbe0ffcd7d06e0426667182abd39819e3f2ed062d71b092905e6fa917432d54	जेठमलानी ने बिनायक सेन की पैरवी करने की पेशकश की			sentence-collector	1	0
6fe6f0ba16e1ad92f52b9273db6e4f5db0851239411ad45f61860f027f222863	रिलीज के बाद ही अपनी बायोपिक फिल्म 'संजू' देखेंगे संजय दत्त			sentence-collector	1	0
70dcf97715688db6652adaac06e00412a40d357b5c7af93af1f43172599c2b81	तो यह है तातोएबा।			sentence-collector	1	0
713402aba356c3e1be3671cc526a00b5bd6f890d85e6c4281a30e236da497e29	पीएसी के सामने पेश होंगे तीनों सेनाध्‍यक्ष			sentence-collector	1	0
717b77d08d9c4007226f1e7cbab8951a41e3bb0e83275504baca9859db949c03	नोएडा में एनकाउंटर, बदमाश के पैर में लगी गोली, साथी फरार			sentence-collector	1	0
71fce6de29a38cde56a5f198abdc6974039fc6efd49727cccba119f806300778	'अटल विदाई यात्रा' में उमड़ा जनसैलाब, हरिद्वार में बेटी ने विसर्जित की अस्थियां			sentence-collector	1	0
726901bd8ecf9b00935af091725049923c0ac37c45c6271e8a2f526163e0d474	दिल्ली के श्मशान घाट पर यमुना किनारे बलि का 'वहशी' खेल			sentence-collector	1	0
72e3493144fc4def49f200701af9776c25a35baa08131d3d1620eeb2edac9dae	टीवी पर अभद्र भाषा सुन बच्चे बन रहे आक्रामक			sentence-collector	1	0
72f5d34cecfc2bff4c094f33019e3971d0d77f8718ccbd43afb49a5ad82c1e37	कुंठा से ग्रसित हैं ममता बनर्जी: लालू यादव			sentence-collector	1	0
730572f002131727f9c43a117888e2fe1c9e20ea16e1d22ff0ee9f867d520d1e	ट्रेड यूनियनों ने की हड़ताल की घोषणा, कामकाज ठप होने की संभावना			sentence-collector	1	0
73200d006e729eddb6480d001c1616cbe5c702a47a06778127a9ab505d4d9885	महिलाओं को मिल सकती है इनकम टैक्‍स में ज्‍यादा छूट			sentence-collector	1	0
73334e6dec566c7d4f7480731be9575da2bb6c5321e3e969d910abd5813c6815	मुझे नहीं लगता कि मैं शादी के लिए तैयार हूं: दीपिका पादुकोण			sentence-collector	1	0
7346a0ae60136606ffb0f2fdd0922c0186451fcdb8f90094b6b3e319e6ef33cd	किरण बेदी बोलीं- नेतृत्व को जिम्मेदारी और कठोर फैसला लेने चाहिए			sentence-collector	1	0
73631e1a81660c74ad22ec76c0f01205e585d359a596e7a1296fdf29135fff9b	हरियाणा में स्थानीय लोगों ने चर्च तोड़ा, लहराया लाल पताका			sentence-collector	1	0
737292161f400b3aca9e6854cb47f3df04c29954031442d8538a11e71beaf112	'सीक्रेट सुपरस्टार' का गाना रिलीज, दंगल गर्ल ने पूछा- मैं कौन हूं			sentence-collector	1	0
73893c2c418e714d5787c56e53da581b5c1475ec3de0e1a8f0e88276979f06c0	टाइम मैगजीन की लिस्ट में 'स्टैच्यू ऑफ यूनिटी' शामिल, पीएम मोदी ने जताई खुशी			sentence-collector	1	0
73f3f676aea25363c5f340d932727d97424c968e727d9dc63bae758a02522328	लेडीज टॉयलेट में महिला का वीडियो बना रहा शख्स गिरफ्तार			sentence-collector	1	0
741403025ebdd122954b083416c00ac8bce8c22f5dcf741fb91d08ef4587d468	फन्ने खां: रजनीकांत के मास्क में दिखे अनिल कपूर, कल आएगा ट्रेलर			sentence-collector	1	0
742ebfac1b01a69e9a7bd28d2b6856773f9c863592070a265a315b1bd170ac9e	हम 'गेम चेंजर' की भूमिका निभाएंगे: पाक			sentence-collector	1	0
7444c42fedd41f0a5cff859aa82ddd755976de81102c6cb355154cb355c2d2a3	कलयुगी बाप ने सौतेली बेटी को बनाया हवस का शिकार, अरेस्ट			sentence-collector	1	0
744aadaf8e04d56a416abc4f2e9a76672726ec0bcd0684e328731218cb899b1f	सत्‍यम को बचाने की मुहिम में एक और कदम			sentence-collector	1	0
744c9c4bc9b82c3d0861cac242419ae7202b5d6e13e0d7449a917ee8a0f4e6f7	नाडा ने खिलाड़ियों को प्रतिबंधित पदार्थों के प्रति चेताया			sentence-collector	1	0
